grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
41_85,41,85,25,4,11,17,513783.0,412.0,1941394.0,March,January:2;February:3;March:4;April:2;May:2;June:2;July:1;August:3;November:3;December:3,0.1415,1.93,80.61,Xinjiang Uygur,"Bachu Xian, Dabancheng, Gongliu, Jiashi, Jiashi Xian, Keping, Shawan, Shufu, Shule, Southern Xinjiang, Wuqia-Shufu, Xinjiang, Xinjiang Uygur Zizhiqu, Xinjiang province, Xinjiang region, Xinjinag Uygur Zizhiqu province, Zhaosu"
42_13,42,13,1,0,1,1,2500000.0,295.0,56000.0,April,April:1,,0.66,38.64,Abruzzo,Fossa
42_14,42,14,2,0,0,0,500.0,15.0,5083.0,February,February:1;May:1,,0.23,24.61,Abruzzo,"Abruzzo area, South"
42_15,42,15,1,0,0,1,796000.0,30.0,8533.0,October,October:1,,0.32,27.36,Molise,San Guliano di Puglia
42_19,42,19,1,0,0,0,0.0,0.0,80.0,May,May:1,,-0.51,0.0,Ulcinj,Kotor-Ulcinj
42_20,42,20,3,0,1,2,20000.0,11.0,2384.0,September,September:1;October:1;November:1,0.0,0.43,31.16,Diber,"Kukes, Peshkopi, Shupenze"
42_21,42,21,3,1,1,2,30000.0,8.0,22070.0,April,April:1;September:1;November:1,0.0,0.4,30.2,Debar,"Debar, Gjilan, Skopje province"
42_22,42,22,2,0,0,0,1000500.0,1082.0,3300.0,February,February:1;July:1,,1.01,50.37,Aracinovo,Skopje
42_25,42,25,1,0,0,1,0.0,0.0,527.0,February,February:1,,-0.51,0.0,Kardzhali,Kardzhali
42_43,42,43,1,0,0,0,0.0,2.0,4500.0,May,May:1,,-0.36,5.01,Samtskhe-Javakheti,Akhalkalaki
42_44,42,44,1,0,0,0,0.0,8.0,3740.0,June,June:1,,-0.21,10.02,Shida Kartli,Dzhava-Tskhinvazli
42_45,42,45,2,0,0,1,350000.0,7.0,19166.0,April,April:1;October:1,,0.31,27.09,Mtskheta-Mtianeti,"Barisakho, Tbilisi area"
42_46,42,46,1,0,1,1,0.0,0.0,15550.0,May,May:1,,-0.51,0.0,Shaki-Zaqatala,Balakan
42_47,42,47,1,0,1,1,0.0,0.0,6949.0,May,May:1,,-0.51,0.0,Shaki-Zaqatala,Zagatala
42_76,42,76,1,0,0,1,0.0,0.0,12050.0,December,December:1,,-0.51,0.0,Naryn,Semiz-Bel
43_-112,43,-112,1,0,0,0,15000.0,2.0,2.0,October,October:1,,-0.11,13.29,Idaho,Eastern Idaho
43_11,43,11,1,0,0,0,41600.0,22.0,4220.0,February,February:1,,0.2,23.46,Toscana,Toscana
43_13,43,13,8,3,3,4,9984900.0,319.0,83378.0,October,April:2;August:1;September:2;October:3,0.4824,1.45,64.7,Umbria," Posta ,  Ussita , Assisi, Gualdo Tadino-Nocera Umbra, Marche, Norcia , Perugia area, Val Nerina"
43_14,43,14,1,1,1,1,18000.0,29.0,11.0,January,January:1,,0.21,23.95,Abruzzo, Csatel Castagna
43_142,43,142,1,1,1,1,1250000.0,41.0,6280.0,September,September:1,,0.37,29.13,Hokkaido,Atsuma village
43_143,43,143,5,0,0,1,1922000.0,358.0,21250.0,January,January:1;March:1;July:1;September:1;October:1,0.0,1.22,57.2,Hokkaido,"Hokaido Island, Hokkaido, Hokkaidoo"
43_18,43,18,1,0,0,0,0.0,0.0,2000.0,September,September:1,,-0.51,0.0,Dubrovacko-Neretvanska,Slano
43_21,43,21,1,0,0,0,0.0,0.0,5100.0,May,May:1,,-0.51,0.0,Rasinski,Aleksandrovac
43_23,43,23,1,0,1,1,0.0,0.0,210.0,May,May:1,,-0.51,0.0,Pernik,Pernik
43_26,43,26,1,0,0,0,0.0,3.0,3060.0,December,December:1,,-0.32,6.32,Veliko Tarnovo,Strazhitsa
43_44,43,44,2,0,1,1,1700000.0,270.0,258806.0,April,April:1;September:1,,0.84,44.51,Racha-Lechkhumi-Kvemo Svaneti,"Oni, Oni district"
